country_name,year,gdp,total_refugees
France,2001,1370376677298.86,6036
France,2002,1492427756382.43,5947
France,2003,1835095983049.09,5539
France,2004,2109792297237.03,5788
France,2005,2192146403028.17,5912
France,2006,2317861544690.82,6084
France,2007,2655816911866.56,6336
France,2008,2926802941585.86,13674
France,2009,2700075882518.98,15608
France,2010,2646230027988.34,17248
France,2011,2870408553990.28,9481
France,2012,2683007095787.23,12922
France,2013,2816077607875.26,17497
France,2014,2861236112552.42,22963
France,2015,2442483452642.5,32215
France,2016,2470407619777.13,42293
France,2017,2588868323334.71,53807
France,2018,2781576320884.39,71687
France,2019,2722793515171.76,87412
France,2020,2647926055110.05,105196
France,2021,2966433692008.09,136957
France,2022,2796302210398.84,221582
France,2023,3051831611384.76,241042
Germany,2001,1966381496641.73,20228
Germany,2002,2102350798305.89,277159
Germany,2003,2534715518349.01,260911
Germany,2004,2852317768061.78,234892
Germany,2005,2893393187361.87,213628
Germany,2006,3046308753670.58,115789
Germany,2007,3484056680854.91,118980
Germany,2008,3808786022312.5,276830
Germany,2009,3479800820863.28,324216
Germany,2010,3468154343000.01,340740
Germany,2011,3824828563521.41,179068
Germany,2012,3597896500945.31,191939
Germany,2013,3808086291482.36,158908
Germany,2014,3965800686309.79,219590
Germany,2015,3423568450957.03,413442
Germany,2016,3537784107980.55,906835
Germany,2017,3763092263752.95,1044943
Germany,2018,4052008447223.53,1070655
Germany,2019,3957208055215.68,1095077
Germany,2020,3940142541354.1,1106057
Germany,2021,4348297440387.53,1156549
Germany,2022,4163596357879.39,1998968
Germany,2023,4525703903627.53,2454276
Greece,2001,132050474720.03,6101
Greece,2002,150253800085.865,3194
Greece,2003,196930509813.384,4996
Greece,2004,234979615898.225,7945
Greece,2005,242315668619.405,6860
Greece,2006,269073415333.676,6189
Greece,2007,314226996944.108,7196
Greece,2008,351121399546.485,9112
Greece,2009,326829054686.306,2260
Greece,2010,296417644404.034,66076
Greece,2011,283228079776.041,1116
Greece,2012,238841140018.233,1534
Greece,2013,236556279640.705,37106
Greece,2014,233911581521.062,10327
Greece,2015,194567373678.099,23139
Greece,2016,193097239005.87,63059
Greece,2017,200381103984.298,57495
Greece,2018,213298873494.394,96348
Greece,2019,207305649887.019,121803
Greece,2020,191362985554.861,116982
Greece,2021,218303801895.326,112209
Greece,2022,218880566444.349,139229
Greece,2023,243498333237.802,173084
Italy,2001,1172041488805.87,1981
Italy,2002,1281746271196.04,2251
Italy,2003,1582930016538.82,2310
Italy,2004,1812808753294.75,3068
Italy,2005,1864982261286.85,3453
Italy,2006,1958563654385.64,4135
Italy,2007,2222524108127.65,6230
Italy,2008,2417508414187.19,16334
Italy,2009,2209484319012.65,21082
Italy,2010,2144936254535.0,27396
Italy,2011,2306974020278.21,12971
Italy,2012,2097929495121.68,21439
Italy,2013,2153225581941.46,25928
Italy,2014,2173255507985.84,45352
Italy,2015,1845428048839.1,69759
Italy,2016,1887111188176.93,98583
Italy,2017,1970720904584.71,127028
Italy,2018,2099435266458.67,113261
Italy,2019,2019606796583.53,102221
Italy,2020,1907481094079.23,78118
Italy,2021,2179207773596.09,85815
Italy,2022,2102995942720.44,242831
Italy,2023,2300941152991.81,260947
Portugal,2001,121604107164.997,83
Portugal,2002,134795565549.419,78
Portugal,2003,165226175536.793,54
Portugal,2004,189382122532.169,54
Portugal,2005,197253876704.921,37
Portugal,2006,208756449275.848,15
Portugal,2007,240496147317.381,32
Portugal,2008,263416394624.084,46
Portugal,2009,244667762835.543,56
Portugal,2010,238443864993.217,39
Portugal,2011,245426767676.002,92
