year,country_name,gdp,total_refugees,coo_name,total,male_female_ratio
2001,France,1370376677298.86,6036.0,Afghanistan,1284.0,1.221453287197232
2001,France,1370376677298.86,6036.0,Syrian Arab Rep.,192.0,2.9183673469387754
2001,France,1370376677298.86,6036.0,Iran (Islamic Rep. of),1987.0,1.8064971751412429
2001,France,1370376677298.86,6036.0,Iraq,1629.0,1.2911392405063291
2001,France,1370376677298.86,6036.0,Ukraine,407.0,1.0148514851485149
2001,France,1370376677298.86,6036.0,Palestinian,78.0,2.25
2001,France,1370376677298.86,6036.0,Pakistan,145.0,2.918918918918919
2001,France,1370376677298.86,6036.0,Liberia,151.0,1.96078431372549
2001,France,1370376677298.86,6036.0,Nigeria,163.0,2.326530612244898
2001,Germany,1966381496641.73,20228.0,Afghanistan,10057.0,
2001,Germany,1966381496641.73,20228.0,Syrian Arab Rep.,1152.0,
2001,Germany,1966381496641.73,20228.0,Iran (Islamic Rep. of),2462.0,
2001,Germany,1966381496641.73,20228.0,Iraq,5454.0,
2001,Germany,1966381496641.73,20228.0,Ukraine,211.0,
2001,Germany,1966381496641.73,20228.0,Pakistan,592.0,
2001,Germany,1966381496641.73,20228.0,Liberia,45.0,
2001,Germany,1966381496641.73,20228.0,Nigeria,255.0,
2001,Greece,132050474720.03,6101.0,Afghanistan,1751.0,
2001,Greece,132050474720.03,6101.0,Syrian Arab Rep.,46.0,
2001,Greece,132050474720.03,6101.0,Iran (Islamic Rep. of),547.0,
2001,Greece,132050474720.03,6101.0,Iraq,3332.0,
2001,Greece,132050474720.03,6101.0,Palestinian,89.0,
2001,Greece,132050474720.03,6101.0,Pakistan,282.0,
2001,Greece,132050474720.03,6101.0,Liberia,14.0,
2001,Greece,132050474720.03,6101.0,Nigeria,40.0,
2001,Italy,1172041488805.87,1981.0,Afghanistan,149.0,
2001,Italy,1172041488805.87,1981.0,Syrian Arab Rep.,22.0,
2001,Italy,1172041488805.87,1981.0,Iran (Islamic Rep. of),538.0,
2001,Italy,1172041488805.87,1981.0,Iraq,1138.0,
2001,Italy,1172041488805.87,1981.0,Ukraine,22.0,
2001,Italy,1172041488805.87,1981.0,Palestinian,21.0,
2001,Italy,1172041488805.87,1981.0,Pakistan,56.0,
2001,Italy,1172041488805.87,1981.0,Liberia,14.0,
2001,Italy,1172041488805.87,1981.0,Nigeria,21.0,
2001,Portugal,121604107164.997,83.0,Afghanistan,5.0,
2001,Portugal,121604107164.997,83.0,Iraq,5.0,
2001,Portugal,121604107164.997,83.0,Liberia,64.0,
2001,Portugal,121604107164.997,83.0,Nigeria,9.0,
2001,Spain,627798682378.741,834.0,Afghanistan,145.0,
2001,Spain,627798682378.741,834.0,Syrian Arab Rep.,20.0,
2001,Spain,627798682378.741,834.0,Iran (Islamic Rep. of),146.0,
2001,Spain,627798682378.741,834.0,Iraq,331.0,
2001,Spain,627798682378.741,834.0,Ukraine,54.0,
2001,Spain,627798682378.741,834.0,Palestinian,5.0,
2001,Spain,627798682378.741,834.0,Pakistan,30.0,
2001,Spain,627798682378.741,834.0,Liberia,58.0,
2001,Spain,627798682378.741,834.0,Nigeria,45.0,
2001,Sweden,242499249692.616,37099.0,Afghanistan,2732.0,
2001,Sweden,242499249692.616,37099.0,Syrian Arab Rep.,1268.0,
2001,Sweden,242499249692.616,37099.0,Iran (Islamic Rep. of),6791.0,
2001,Sweden,242499249692.616,37099.0,Iraq,25889.0,
2001,Sweden,242499249692.616,37099.0,Ukraine,236.0,
2001,Sweden,242499249692.616,37099.0,Pakistan,111.0,
2001,Sweden,242499249692.616,37099.0,Liberia,37.0,
2001,Sweden,242499249692.616,37099.0,Nigeria,35.0,
2001,Switzerland,286582672434.226,8830.0,Afghanistan,2175.0,1.5075845974329054
2001,Switzerland,286582672434.226,8830.0,Syrian Arab Rep.,342.0,1.6106870229007633
2001,Switzerland,286582672434.226,8830.0,Iran (Islamic Rep. of),1548.0,1.4814814814814814
2001,Switzerland,286582672434.226,8830.0,Iraq,3940.0,2.03125
2001,Switzerland,286582672434.226,8830.0,Ukraine,98.0,1.1777777777777778
2001,Switzerland,286582672434.226,8830.0,Palestinian,15.0,2.0
2001,Switzerland,286582672434.226,8830.0,Pakistan,486.0,3.3783783783783785
2001,Switzerland,286582672434.226,8830.0,Liberia,29.0,3.0
2001,Switzerland,286582672434.226,8830.0,Nigeria,197.0,4.324324324324325
2001,Türkiye,0.0,6520.0,Afghanistan,413.0,1.3072625698324023
2001,Türkiye,0.0,6520.0,Syrian Arab Rep.,6.0,
2001,Türkiye,0.0,6520.0,Iran (Islamic Rep. of),4530.0,1.5096952908587258
2001,Türkiye,0.0,6520.0,Iraq,1524.0,1.2746268656716415
2001,Türkiye,0.0,6520.0,Palestinian,42.0,1.4705882352941178
2001,Türkiye,0.0,6520.0,Nigeria,5.0,
2001,United Kingdom,1649827263567.01,35415.0,,,
2001,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,Afghanistan,15065.0,
2001,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,Iran (Islamic Rep. of),4115.0,
2001,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,Iraq,11955.0,
2001,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,Ukraine,260.0,
2001,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,Pakistan,2120.0,
2001,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,Liberia,280.0,
2001,United Kingdom of Great Britain and Northern Ireland,0.0,0.0,Nigeria,1620.0,
2001,United States,10581929000000.0,98229.0,,,
2001,United States of America,0.0,0.0,Afghanistan,7756.0,
2001,United States of America,0.0,0.0,Syrian Arab Rep.,479.0,
2001,United States of America,0.0,0.0,Iran (Islamic Rep. of),22657.0,
2001,United States of America,0.0,0.0,Iraq,19790.0,
2001,United States of America,0.0,0.0,Ukraine,24869.0,
2001,United States of America,0.0,0.0,Pakistan,3956.0,
2001,United States of America,0.0,0.0,Liberia,15974.0,
2001,United States of America,0.0,0.0,Nigeria,2748.0,
2002,France,1492427756382.43,5947.0,Afghanistan,1256.0,1.1958041958041958
2002,France,1492427756382.43,5947.0,Syrian Arab Rep.,207.0,3.14
2002,France,1492427756382.43,5947.0,Iran (Islamic Rep. of),1884.0,1.791111111111111
2002,France,1492427756382.43,5947.0,Iraq,1597.0,1.297841726618705
2002,France,1492427756382.43,5947.0,Ukraine,438.0,0.9380530973451328
2002,France,1492427756382.43,5947.0,Palestinian,79.0,2.2916666666666665
2002,France,1492427756382.43,5947.0,Pakistan,157.0,2.8292682926829267
2002,France,1492427756382.43,5947.0,Liberia,148.0,2.217391304347826
2002,France,1492427756382.43,5947.0,Nigeria,181.0,2.232142857142857
2002,Germany,2102350798305.89,277159.0,Afghanistan,64363.0,
2002,Germany,2102350798305.89,277159.0,Syrian Arab Rep.,15677.0,
2002,Germany,2102350798305.89,277159.0,Iran (Islamic Rep. of),54000.0,
2002,Germany,2102350798305.89,277159.0,Iraq,76884.0,
2002,Germany,2102350798305.89,277159.0,Ukraine,53747.0,
2002,Germany,2102350798305.89,277159.0,Pakistan,9869.0,
2002,Germany,2102350798305.89,277159.0,Liberia,936.0,
2002,Germany,2102350798305.89,277159.0,Nigeria,1683.0,
2002,Greece,150253800085.865,3194.0,Afghanistan,512.0,16.545454545454547
2002,Greece,150253800085.865,3194.0,Syrian Arab Rep.,60.0,2.2
2002,Greece,150253800085.865,3194.0,Iran (Islamic Rep. of),462.0,5.176470588235294
2002,Greece,150253800085.865,3194.0,Iraq,1818.0,4.327586206896552
2002,Greece,150253800085.865,3194.0,Palestinian,55.0,3.5714285714285716
2002,Greece,150253800085.865,3194.0,Pakistan,162.0,
