year,coo_id,coa_id,coo_name,coa_name,coo,coa,coo_iso,coa_iso,f_0_4,f_5_11,f_12_17,f_18_59,f_60,f_other,f_total,m_0_4,m_5_11,m_12_17,m_18_59,m_60,m_other,m_total,total,decade,male_female_ratio,origin_destination_total
2001,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,7756,2000,,160536
2002,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,9227,2000,,160536
2003,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,9821,2000,,160536
2004,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,9923,2000,,160536
2005,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,8931,2000,,160536
2006,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,13348,2000,,160536
2007,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,4876,2000,,160536
2008,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,4328,2000,,160536
2009,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,3542,2000,,160536
2010,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,1410,2010,,160536
2011,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,1210,2010,,160536
2012,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,1147,2010,,160536
2013,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,1309,2010,,160536
2014,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,1622,2010,,160536
2015,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,1970,2010,,160536
2016,2,202,Afghanistan,United States of America,AFG,USA,AFG,USA,0,0,0,0,0,0,,0,0,0,0,0,0,0,2250,2010,,160536
