country_name,year,gdp,total_refugees
France,2001,1370376677298.86,6036
France,2002,1492427756382.43,5947
France,2003,1835095983049.09,5539
France,2004,2109792297237.03,5788
France,2005,2192146403028.17,5912
France,2006,2317861544690.82,6084
France,2007,2655816911866.56,6336
France,2008,2926802941585.86,13674
France,2009,2700075882518.98,15608
France,2010,2646230027988.34,17248
France,2011,2870408553990.28,9481
France,2012,2683007095787.23,12922
France,2013,2816077607875.26,17497
France,2014,2861236112552.42,22963
France,2015,2442483452642.5,32215
France,2016,2470407619777.13,42293
France,2017,2588868323334.71,53807
France,2018,2781576320884.39,71687
France,2019,2722793515171.76,87412
France,2020,2647926055110.05,105196
France,2021,2966433692008.09,136957
France,2022,2796302210398.84,221582
France,2023,3051831611384.76,241042
Sweden,2001,242499249692.616,37099
Sweden,2002,267373345246.531,45735
Sweden,2003,334074051172.972,44830
Sweden,2004,384547211147.247,41186
Sweden,2005,391690329314.475,36327
Sweden,2006,422530427475.536,42617
Sweden,2007,490050156832.574,100182
Sweden,2008,514616528348.834,97312
Sweden,2009,434313804907.366,90522
Sweden,2010,492753255885.718,42574
Sweden,2011,570541353128.724,43635
Sweden,2012,549742183874.355,51565
Sweden,2013,584128116410.29,67935
Sweden,2014,577730245154.162,102185
Sweden,2015,501698263620.663,213285
Sweden,2016,514218206628.325,203609
Sweden,2017,536083940228.684,186930
Sweden,2018,551312498430.164,180181
Sweden,2019,532169294165.94,179229
Sweden,2020,545147614972.141,174356
Sweden,2021,637186904843.636,170286
Sweden,2022,579895717343.956,211041
Sweden,2023,584960475767.32,183069
Switzerland,2001,,8830
Switzerland,2002,,9469
Switzerland,2003,,9465
Switzerland,2004,,8369
Switzerland,2005,,8208
Switzerland,2006,,9552
Switzerland,2007,,19400
Switzerland,2008,,24400
Switzerland,2009,,25258
Switzerland,2010,,12606
Switzerland,2011,,13858
Switzerland,2012,,15604
Switzerland,2013,,16862
Switzerland,2014,,20597
Switzerland,2015,,34112
Switzerland,2016,,37438
Switzerland,2017,,39447
Switzerland,2018,,41282
Switzerland,2019,,43286
Switzerland,2020,,44133
Switzerland,2021,,45711
Switzerland,2022,,110440
Switzerland,2023,,119179
United Kingdom,2001,1649827263567.01,35415
United Kingdom,2002,1785729916067.15,50965
United Kingdom,2003,2054422857142.86,57893
United Kingdom,2004,2421525082387.4,59990
United Kingdom,2005,2543180000000.0,61285
United Kingdom,2006,2708441582336.71,62379
United Kingdom,2007,3090510204081.63,63883
United Kingdom,2008,2929411764705.88,126052
United Kingdom,2009,2412840006231.5,126692
United Kingdom,2010,2485482596184.71,117622
United Kingdom,2011,2663805834828.07,56148
United Kingdom,2012,2707089726614.64,43696
United Kingdom,2013,2784853502534.29,43454
United Kingdom,2014,3064708247921.43,48502
United Kingdom,2015,2927911140916.73,54326
United Kingdom,2016,2689106566899.61,59820
United Kingdom,2017,2680148052335.3,62140
United Kingdom,2018,2871340347581.79,67126
United Kingdom,2019,2851407164907.81,78246
United Kingdom,2020,2696778386607.65,84689
United Kingdom,2021,3143323050707.26,106341
United Kingdom,2022,3114042471144.39,314890
United Kingdom,2023,3380854520809.54,395674
United States,2001,10581929000000.0,98229
United States,2002,10929108000000.0,98324
United States,2003,11456450000000.0,100479
United States,2004,12217196000000.0,94777
United States,2005,13039197000000.0,85318
United States,2006,13815583000000.0,155551
United States,2007,14474228000000.0,59514
United States,2008,14769862000000.0,55744
United States,2009,14478067000000.0,51752
United States,2010,15048971000000.0,22230
United States,2011,15599732000000.0,20635
United States,2012,16253970000000.0,20598
United States,2013,16880683000000.0,26453
United States,2014,17608138000000.0,33962
United States,2015,18295019000000.0,42075
United States,2016,18804913000000.0,50139
United States,2017,19612102000000.0,58519
United States,2018,20656516000000.0,63492
United States,2019,21539982000000.0,67406
United States,2020,21354105000000.0,71490
United States,2021,23681171000000.0,92745
United States,2022,26006893000000.0,115213
United States,2023,27720709000000.0,148968
